	ID	Text	Text_korr	Span	StartChar	EndChar	Code-annotator1	Code-annotator2	Code-annotator3	Code-annotator4	status	context_before	match	context_after
Bericht_12-09-14_23-27-57_SB11+18334	554.0	Bericht_12-09-14_23-27-57_SB11	12-09-14_Bericht_23-27-57_SB11.txt	ich	18334	18337	SB-Ich	SB-Ich	SB-Ich	SB-Ich	fullmatch	e, Klammern oder die Ausformulierung des Gedankens passen hier besser als Gedankenstriche. Was ist das LVWL? „ab“kannst du weglassen. Die Zahel würde 	ich	 ausschreiben. Beratungsangebot Ich finde es gut, dass du hier nicht nach jedem Satz einen Absatz machst. Wenn du jetzt noch bei der Formatierung Bloc
Bericht_12-09-14_23-27-57_SB11+18369	555.0	Bericht_12-09-14_23-27-57_SB11	12-09-14_Bericht_23-27-57_SB11.txt	Ich	18369	18372	SB-Ich	SB-Ich	SB-Ich	SB-Ich	fullmatch	g des Gedankens passen hier besser als Gedankenstriche. Was ist das LVWL? „ab“kannst du weglassen. Die Zahel würde ich ausschreiben. Beratungsangebot 	Ich	 finde es gut, dass du hier nicht nach jedem Satz einen Absatz machst. Wenn du jetzt noch bei der Formatierung Blocksatz eingibst, ist es noch besser.
Bericht_12-09-14_23-27-57_SB11+2279	527.0	Bericht_12-09-14_23-27-57_SB11	12-09-14_Bericht_23-27-57_SB11.txt	Ich	2279	2282	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich*	Erzähler-Ich	fullmatch	r mit dem Telefon Dienst, in das die Mitarbeitende die Anrufe erledigen. Es gibt auch eigene Küche und viele zusätzliche andere Räume für Beratungen. 	Ich	 hatte  auch zur Verfügeng ein Zimmer bekommen,  dass das hell und schön ist.   Ich habe mich  mit Mitarbeiterinnen und Mitarbeiter kennengelernt.  Si
Bericht_12-09-14_23-27-57_SB11+2362	528.0	Bericht_12-09-14_23-27-57_SB11	12-09-14_Bericht_23-27-57_SB11.txt	Ich	2362	2365	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich*	Erzähler-Ich	fullmatch	ch eigene Küche und viele zusätzliche andere Räume für Beratungen. Ich hatte  auch zur Verfügeng ein Zimmer bekommen,  dass das hell und schön ist.   	Ich	 habe mich  mit Mitarbeiterinnen und Mitarbeiter kennengelernt.  Sie haben mich als Kollegin wahrgenommen.  Am ersten Tag hat  mir  mein Leiter meine 
Bericht_12-09-14_23-27-57_SB11+2536	529.0	Bericht_12-09-14_23-27-57_SB11	12-09-14_Bericht_23-27-57_SB11.txt	Ich	2536	2539	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich*	Erzähler-Ich	fullmatch	beiterinnen und Mitarbeiter kennengelernt.  Sie haben mich als Kollegin wahrgenommen.  Am ersten Tag hat  mir  mein Leiter meine Aufgaben eingeführt. 	Ich	 sollte an  Erstgesprächen, Beratungsprozessen und Gruppen teilnehmen und auch an telefonische Beratung, Prävention Unterricht  führen. Das Ziel der B
Bericht_12-09-14_23-27-57_SB11+2755	530.0	Bericht_12-09-14_23-27-57_SB11	12-09-14_Bericht_23-27-57_SB11.txt	Ich	2755	2758	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich*	Erzähler-Ich	fullmatch	men und auch an telefonische Beratung, Prävention Unterricht  führen. Das Ziel der Beratungen soll   aus der motivierenden Gesprächsführung bestehen. 	Ich	 habe mich  auch mit dem Dokumentationssystem der BADO (die Basisdokumentation) –Hamburg vertraut, in das die Daten und der Verlauf von Klientinnen/te
Bericht_12-09-14_23-27-57_SB11+3164	531.0	Bericht_12-09-14_23-27-57_SB11	12-09-14_Bericht_23-27-57_SB11.txt	Ich	3164	3167	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich*	Erzähler-Ich	fullmatch	nd das Controlling ein. Außerdem unterstützt das Programm PATFAK-( Redline Date GmbH) Light die Datenverwaltung: der Art der Beratung und der Inhalt. 	Ich	 habe in einer Beratung meines Leiters hospitiert. Das Gespräch war sehr professionale und interessant strukturiert.( auf die Struktur komme ich an ei
Bericht_12-09-14_23-27-57_SB11+3308	532.0	Bericht_12-09-14_23-27-57_SB11	12-09-14_Bericht_23-27-57_SB11.txt	ich	3308	3311	Erzähler-Ich	Verfasser-Ich	Verfasser-Ich	Erzähler-Ich	fullmatch	halt. Ich habe in einer Beratung meines Leiters hospitiert. Das Gespräch war sehr professionale und interessant strukturiert.( auf die Struktur komme 	ich	 an einer spätere Stelle zurück).  3.Mitarbeiter-Struktur 3.1 Teams Jeden Dienstag von  10.00-12.00 hat die Suchtberatung –ein  Teamsitzung. In der Kö
Bericht_12-09-14_23-27-57_SB11+422	524.0	Bericht_12-09-14_23-27-57_SB11	12-09-14_Bericht_23-27-57_SB11.txt	ich	422	425	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich*	Erzähler-Ich	fullmatch	nde zu fördern, ein Überblick zu geben und Aspekte des wissenschaftliche  Arbeitens aufzuzeigen. Um eine Stelle für das Praktikum zu suchen, brauchte 	ich	 nicht so viel Zeit. Ich habe mir schon längerer Zeit gewünscht  die Suchtberatung Stelle kennen zu lernen. (Aus meinem vorragenden Studium hat es lei
Bericht_12-09-14_23-27-57_SB11+446	525.0	Bericht_12-09-14_23-27-57_SB11	12-09-14_Bericht_23-27-57_SB11.txt	Ich	446	449	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich*	Erzähler-Ich	fullmatch	blick zu geben und Aspekte des wissenschaftliche  Arbeitens aufzuzeigen. Um eine Stelle für das Praktikum zu suchen, brauchte ich nicht so viel Zeit. 	Ich	 habe mir schon längerer Zeit gewünscht  die Suchtberatung Stelle kennen zu lernen. (Aus meinem vorragenden Studium hat es leider nicht geklappt, weil
Bericht_12-09-14_23-27-57_SB11+5141	533.0	Bericht_12-09-14_23-27-57_SB11	12-09-14_Bericht_23-27-57_SB11.txt	Ich	5141	5144	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich	fullmatch	ld sammeln. Diese Aufgabe ist nicht leicht zu erledigen, sogar nicht leicht zu gehen, weil, wenn man die Brille anzieht,  fühlt  man sich betrunken.  	Ich	 finde, dass es wichtig ist, wenn die Jugendlichen so ausprobieren können und richtig spüren seine Bestand  und Gefühl. Nicht nur Mitarbeitende stelle
Bericht_12-09-14_23-27-57_SB11+5629	333.0	Bericht_12-09-14_23-27-57_SB11	12-09-14_Bericht_23-27-57_SB11.txt	ich	5629	5632	Erzähler-Ich	Verfasser-Ich	None	Erzähler-Ich	fullmatch	ch zerstören. Am Ende des Unterrichts bietet die Mitarbeitende   immer Unterstützung, wenn die Jugendlichen Problemen oder Schwierigkeiten haben. Wie 	ich	 schon erwähnt habe, ist alles kostenlos und anonym. Je früher Prävention Unterricht führen, desto  früher Drogenkonsum Verbeugen kan  3.3 Akupunkturp
Bericht_12-09-14_23-27-57_SB11+678	526.0	Bericht_12-09-14_23-27-57_SB11	12-09-14_Bericht_23-27-57_SB11.txt	ich	678	681	Erzähler-Ich	Erzähler-Ich	Verfasser-Ich*	Erzähler-Ich	fullmatch	nen. (Aus meinem vorragenden Studium hat es leider nicht geklappt, weil die Beratungsstelle sehr weit von der Universität war.) Aus diesem Grund habe 	ich	 mein Praktikum bei der Suchtberatung Königstraße 16a ausgewählt.   1.Entstehung der Beratungsstelle Die Suchtberatung Königstraße 16a wurde erstmals 
Bericht_12-09-14_23-27-57_SB11+8880	534.0	Bericht_12-09-14_23-27-57_SB11	12-09-14_Bericht_23-27-57_SB11.txt	Ich	8880	8883	Erzähler-Ich	Erzähler-Ich*	Forscher-Ich*	Erzähler-Ich	fullmatch	 zwischen 15 und 17 Jahren grundlegend sich verändert. Kann man nicht im Voraus das Gespräch vorsehen, weil  jeder  seine individuellen Probleme hat. 	Ich	 habe für mich rausentdeckt, dass es interessante und entspannte, um mehr nahe zur Klienten zu kommen, wenn man das Gespräch nicht im „harten Rahmen“ 
Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01+11448	565.0	Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01	15-07-23_Bilderbuchanalyse-Maerchen_21-02-74_SB01.txt	ich	11448	11451	Erzähler-Ich	Verfasser-Ich	Erzähler-Ich*	Verfasser-Ich*	no_match	None	None	None
Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01+1241	556.0	Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01	15-07-23_Bilderbuchanalyse-Maerchen_21-02-74_SB01.txt	ich	1241	1244	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_5	ensch-Tier (die Königin wird einmal mit dem Körper eines Pfaus und einmal mit dem Schnabel eines Raben abgebildet). In der vorliegenden Analyse setze 	ich	 den Fokus auf den Raben, weil er einerseits mehrfach in den Bildern in Erscheinung tritt, obwohl er im Text ein einziges Mal Erwähnung findet und sei
Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01+1467	557.0	Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01	15-07-23_Bilderbuchanalyse-Maerchen_21-02-74_SB01.txt	ich	1467	1470	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_5	cheinung tritt, obwohl er im Text ein einziges Mal Erwähnung findet und seine Gestalt andererseits eine Besonderheit besitzt. In dieser Analyse werde 	ich	 mich auf die Bilder fokussieren, in welchen der Rabe erscheint (Titel bzw. Rückseite, Vorsatzblatt bzw. Nachsatzblatt, S. 7, 19, 27, 33, 36-37, 41), 
Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01+1685	558.0	Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01	15-07-23_Bilderbuchanalyse-Maerchen_21-02-74_SB01.txt	ich	1685	1688	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_10	l bzw. Rückseite, Vorsatzblatt bzw. Nachsatzblatt, S. 7, 19, 27, 33, 36-37, 41), und die Beziehung zwischen Bild und Text untersuchen: Zunächst werde 	ich	 die Präsenz des Raben beschreiben und dabei der Frage nachgehen, bei welchen Bildern der Rabe erscheint und welche besonderen Merkmale er aufweist. D
Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01+16916	566.0	Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01	15-07-23_Bilderbuchanalyse-Maerchen_21-02-74_SB01.txt	ich	16916	16919	Verfasser-Ich	Verfasser-Ich	Erzähler-Ich*	Verfasser-Ich	no_match	None	None	None
Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01+1850	559.0	Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01	15-07-23_Bilderbuchanalyse-Maerchen_21-02-74_SB01.txt	ich	1850	1853	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_10	 des Raben beschreiben und dabei der Frage nachgehen, bei welchen Bildern der Rabe erscheint und welche besonderen Merkmale er aufweist. Danach werde 	ich	 auf die symbolische Bedeutung des Raben eingehen – dabei werde ich mich auf mehrere Symbollexika beziehen – und ihn auf der Basis der Bild-Text-Bezie
Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01+1917	560.0	Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01	15-07-23_Bilderbuchanalyse-Maerchen_21-02-74_SB01.txt	ich	1917	1920	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_10	ildern der Rabe erscheint und welche besonderen Merkmale er aufweist. Danach werde ich auf die symbolische Bedeutung des Raben eingehen – dabei werde 	ich	 mich auf mehrere Symbollexika beziehen – und ihn auf der Basis der Bild-Text-Beziehung interpretieren. Anschließend werde ich im Fazit versuchen, auf
Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01+2043	561.0	Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01	15-07-23_Bilderbuchanalyse-Maerchen_21-02-74_SB01.txt	ich	2043	2046	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_10	 eingehen – dabei werde ich mich auf mehrere Symbollexika beziehen – und ihn auf der Basis der Bild-Text-Beziehung interpretieren. Anschließend werde 	ich	 im Fazit versuchen, auf die Frage zu antworten, inwieweit die Abbildung des Raben die Textnarration ergänzt und dementsprechend einen Beitrag zum Tex
Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01+2455	562.0	Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01	15-07-23_Bilderbuchanalyse-Maerchen_21-02-74_SB01.txt	ich	2455	2458	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_15	wobei das Bild auf Seiten 36-37 auch als Deckblatt bzw. Rückseite verwendet wird und das Vorsatzblatt identisch mit dem Nachsatzblatt ist. Dazu werde 	ich	 das Bild auf den Seiten 38-39 analysieren, obwohl es nicht klar ist, ob die Vögel im Hintergrund des Bildes tatsächlich Raben sind. Es ist interessan
Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01+8699	563.0	Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01	15-07-23_Bilderbuchanalyse-Maerchen_21-02-74_SB01.txt	ich	8699	8702	Erzähler-Ich	Forscher-Ich	Erzähler-Ich*	Erzähler-Ich	no_match	None	None	None
Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01+8799	564.0	Bilderbuchanalyse-Maerchen_15-07-23_21-02-74_SB01	15-07-23_Bilderbuchanalyse-Maerchen_21-02-74_SB01.txt	ich	8799	8802	Erzähler-Ich	Forscher-Ich	Erzähler-Ich*	Erzähler-Ich	rough_match_5	l anstatt mit Nase und Mund. Die Falten rund um die Augen und auf der Stirn und die weiße Haare lassen ansonsten eine alte Frau erkennen. Anfangs war 	ich	 mir nicht sicher, ob es sich um den Schnabel eines Raben oder eines anderen Vogels handelt, bis ich bemerkte, dass ihr Schnabel sich auf dem Schnabel
Dipl-Qualitaetssicherung_12-05-09_31-23-46_WB06+5699	584.0	Dipl-Qualitaetssicherung_12-05-09_31-23-46_WB06	12-05-09_Dipl-Qualitaetssicherung_31-23-46_WB06.txt	ich	5699	5702	SB-Ich	SB-Ich	SB-Ich	SB-Ich	rough_match_15	otential ARS Audience Response Systeme TED Tele Voting Ausstehend: Datenbanken UNI usw..    Mail-Antwort vom 9.5.12 Guten Morgen,  so langsam bekomme 	ich	 ein Gefühl dafür, was du vorhast - ich hoffe, du auch :-))  Es scheint mir allerdings, dass du dich zwischen 2 Aufgaben entscheiden musst: 1) Einen Ü
Dipl-Qualitaetssicherung_12-05-09_31-23-46_WB06+5738	585.0	Dipl-Qualitaetssicherung_12-05-09_31-23-46_WB06	12-05-09_Dipl-Qualitaetssicherung_31-23-46_WB06.txt	ich	5738	5741	SB-Ich	SB-Ich	SB-Ich	SB-Ich	rough_match_15	TED Tele Voting Ausstehend: Datenbanken UNI usw..    Mail-Antwort vom 9.5.12 Guten Morgen,  so langsam bekomme ich ein Gefühl dafür, was du vorhast - 	ich	 hoffe, du auch :-))  Es scheint mir allerdings, dass du dich zwischen 2 Aufgaben entscheiden musst: 1) Einen Überblick über mögliche Anwendungsgebiet
Dipl-Qualitaetssicherung_12-05-09_31-23-46_WB06+6037	586.0	Dipl-Qualitaetssicherung_12-05-09_31-23-46_WB06	12-05-09_Dipl-Qualitaetssicherung_31-23-46_WB06.txt	ich	6037	6040	SB-Ich	SB-Ich	SB-Ich	SB-Ich	rough_match_15	biete zu geben 2) Eine empirische Studie durchzuführen.  Zumindest muss es gewichtet werden. Da du die empirische Studie durchführen willst - so habe 	ich	 es auf jeden Fall verstanden -, wird es im Rahmen der Diplomarbeit kaum möglich sein, ALLE Anwendungsfelder abzuklopfen. Das ist halt immer das Dilem
Dipl-Qualitaetssicherung_12-05-09_31-23-46_WB06+6414	587.0	Dipl-Qualitaetssicherung_12-05-09_31-23-46_WB06	12-05-09_Dipl-Qualitaetssicherung_31-23-46_WB06.txt	ich	6414	6417	SB-Ich	SB-Ich	SB-Ich	SB-Ich	rough_match_15	agmatisch damit umgehen, indem die Perspektiven aufgezeigt werden, in die es gehen könnte.  Dass du jetzt Freitag einen Termin beim Tutor hast, finde 	ich	 gut. Zur Vorbereitung empfehle ich dir, einen Zeitplan anzufertigen, der zwei Eckpfeiler berücksichtigt: Wann soll die Abgabe erfolgen?  Wann können 
Dipl-Qualitaetssicherung_12-05-09_31-23-46_WB06+6449	588.0	Dipl-Qualitaetssicherung_12-05-09_31-23-46_WB06	12-05-09_Dipl-Qualitaetssicherung_31-23-46_WB06.txt	ich	6449	6452	SB-Ich	SB-Ich	SB-Ich	SB-Ich	rough_match_15	Perspektiven aufgezeigt werden, in die es gehen könnte.  Dass du jetzt Freitag einen Termin beim Tutor hast, finde ich gut. Zur Vorbereitung empfehle 	ich	 dir, einen Zeitplan anzufertigen, der zwei Eckpfeiler berücksichtigt: Wann soll die Abgabe erfolgen?  Wann können Daten erhoben werden? (Wenn das in 
Dipl-Qualitaetssicherung_12-05-09_31-23-46_WB06+7484	589.0	Dipl-Qualitaetssicherung_12-05-09_31-23-46_WB06	12-05-09_Dipl-Qualitaetssicherung_31-23-46_WB06.txt	ich	7484	7487	SB-Ich	SB-Ich	SB-Ich	SB-Ich	rough_match_15	"Servicestelle empirische Forschungsmethoden"" aufnehmen. http://www.epb.uni-hamburg.de/methoden Allerdings ist der ""nur"" für epb zuständig, daher weiß "	ich	 nicht, ob er dich annimmt :-) Aber er berät Studierende bei der Konzeption empirischer Studien.  Weitere Anmerkungen sind im Text notiert.  HG, NAME 
Diplomarbeit-Einleitung_13-09-15_27-16-44+10516	577.0	Diplomarbeit-Einleitung_13-09-15_27-16-44	13-09-15_Diplomarbeit-Einleitung_27-16-44.txt	None	10516	10519	None	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_5	r in das ZSR nicht eintragen obwohl vielleicht,  bei  Eine oder ein Anderen Schüler eine Kindeswohlgefährdung vorliegen könnte? Darüber hinaus möchte 	ich	 untersuchen, wie Schulpersonal bezüglich die Rechtlage der Kindern mit den beschriebene Sachverhalt für ihre berufliches Handeln bewusst sind z.B. wa
Diplomarbeit-Einleitung_13-09-15_27-16-44+10722	578.0	Diplomarbeit-Einleitung_13-09-15_27-16-44	13-09-15_Diplomarbeit-Einleitung_27-16-44.txt	ich	10722	10725	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich*	Verfasser-Ich	rough_match_5	ge der Kindern mit den beschriebene Sachverhalt für ihre berufliches Handeln bewusst sind z.B. was sie über das Thema überhaupt wiesen. Zuletzt frage 	ich	 mich wie schafft strukturelle Gewalt- Durch Verwaltungsvorschriften- Menschen mit den betroffene Sachverhalt sowie deren Beihilfen abzuschrecken, so 
Diplomarbeit-Einleitung_13-09-15_27-16-44+10988	579.0	Diplomarbeit-Einleitung_13-09-15_27-16-44	13-09-15_Diplomarbeit-Einleitung_27-16-44.txt	ich	10988	10991	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_10	 deren Beihilfen abzuschrecken, so dass sie ihr Recht auf Bildung nicht in Anspruch nehmen?    Um meine Forschungsfrage aus den Grund zu gehen stütze 	ich	 mich auf der Theorie der strukturelle Gewalt durch die institutionalisierte Diskriminierung, um zu analysieren, wie Strukturelle Gewalt auf Individue
Diplomarbeit-Einleitung_13-09-15_27-16-44+11484	580.0	Diplomarbeit-Einleitung_13-09-15_27-16-44	13-09-15_Diplomarbeit-Einleitung_27-16-44.txt	ich	11484	11487	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_10	chung der Arbeit. D.h. welchen Design sowie welche Methode wird angewendet und die von mir gestellte Fragestellungen zu beantworten. Als Design werde 	ich	 ein Vergleichsstudie angewendet, Als Methode werde ich Verbale Daten durch Leitfaden Interwies an Experten (Experten Interviews) durchführen. Hiermit
Diplomarbeit-Einleitung_13-09-15_27-16-44+11539	581.0	Diplomarbeit-Einleitung_13-09-15_27-16-44	13-09-15_Diplomarbeit-Einleitung_27-16-44.txt	ich	11539	11542	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_10	ode wird angewendet und die von mir gestellte Fragestellungen zu beantworten. Als Design werde ich ein Vergleichsstudie angewendet, Als Methode werde 	ich	 Verbale Daten durch Leitfaden Interwies an Experten (Experten Interviews) durchführen. Hiermit ist gemeint Lehrpersonal und Schulverwaltung, weil sie
Diplomarbeit-Einleitung_13-09-15_27-16-44+4107	567.0	Diplomarbeit-Einleitung_13-09-15_27-16-44	13-09-15_Diplomarbeit-Einleitung_27-16-44.txt	ich	4107	4110	SB-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_5	nicht zu erklären.  Wie wird in Hamburger Schulverwaltung mit den Schülerdaten umgegangen, um Aufdeckung von Schülern ohne Status zu vermeiden, werde 	ich	 in dieser Arbeit noch näher eingehen.     • Der Anlass des Forschungsthemas ist mein persönliches Interesse, das Thema ist relevant für mich aus vers
Diplomarbeit-Einleitung_13-09-15_27-16-44+4284	569.0	Diplomarbeit-Einleitung_13-09-15_27-16-44	13-09-15_Diplomarbeit-Einleitung_27-16-44.txt	ich	4284	4287	Erzähler-Ich	Erzähler-Ich	Erzähler-Ich*	Erzähler-Ich*	rough_match_5	äher eingehen.     • Der Anlass des Forschungsthemas ist mein persönliches Interesse, das Thema ist relevant für mich aus verschiedenen Gründen. Auch 	ich	 habe  Erfahrung gemacht, die mich beeinträchtigt habe die Schule nicht besuchen zu dürfen aufgrund einer Duldung. Darüber hinaus vertiefte mein Inter
Diplomarbeit-Einleitung_13-09-15_27-16-44+4889	570.0	Diplomarbeit-Einleitung_13-09-15_27-16-44	13-09-15_Diplomarbeit-Einleitung_27-16-44.txt	ich	4889	4892	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Erzähler-Ich*	rough_match_5	haftliche Problem in Deutschland sowie in der europäische Union   •   Die folgende empirische Arbeit ist das Ergebnis eine minuziöse Beobachtung, die 	ich	 im Rahm eines Praktikums bei der Regionale Beratung-und Unterstützungsstellen Hamburg (REBUS) absolviert habe.  Die Regionalen Beratung-und Unterstüt
Diplomarbeit-Einleitung_13-09-15_27-16-44+5979	571.0	Diplomarbeit-Einleitung_13-09-15_27-16-44	13-09-15_Diplomarbeit-Einleitung_27-16-44.txt	ich	5979	5982	Verfasser-Ich	"""Ich"" stellvertr. für Allgemeinheit"	Forscher-Ich	Eid	rough_match_5	lten dem „Umgang mit Schülern ohne Aufenthaltsstatus in der Schule“  Auf Grund der Schweigepflicht nach §203 Strafgesetzesbuch, die REBUS bindet, bin 	ich	 verpflichtet die Namen der Schülerin zu ändern, um ihre Privatsphäre nicht zu verletzen. Im Rahme meiner Tätigkeit bei REBUS im Bezug zu dem Umgang m
Diplomarbeit-Einleitung_13-09-15_27-16-44+6172	572.0	Diplomarbeit-Einleitung_13-09-15_27-16-44	13-09-15_Diplomarbeit-Einleitung_27-16-44.txt	ich	6172	6175	Verfasser-Ich	Erzähler-Ich	Forscher-Ich	Erzähler-Ich*	rough_match_5	 ändern, um ihre Privatsphäre nicht zu verletzen. Im Rahme meiner Tätigkeit bei REBUS im Bezug zu dem Umgang mit Schülern ohne Aufenthaltsstatus habe 	ich	 durch eine Anfrage an REBUS die Meldung einer Schülerin Namen „Claudia“ Ehrenamtlich über ein Jahr verfolgt. Grund der Meldung war soziales Verhalten
Diplomarbeit-Einleitung_13-09-15_27-16-44+6602	573.0	Diplomarbeit-Einleitung_13-09-15_27-16-44	13-09-15_Diplomarbeit-Einleitung_27-16-44.txt	ich	6602	6605	Erzähler-Ich	Erzähler-Ich	Forscher-Ich	Erzähler-Ich	rough_match_5	n, wie Pünktlichkeit Erscheinung, versäumte Schulalltag ohne vorliegende Begründung. Als Falls zuständiger, wurde eine Schulpsychologin bestimmt, die 	ich	 bei der Bearbeitung und Verfolgung des Falles mitbegleiten dürfte.  Nach einem Erst-Gespräch mit der Klassenlehrerin, die Schülerin und die Mutter, w
Diplomarbeit-Einleitung_13-09-15_27-16-44+8415	574.0	Diplomarbeit-Einleitung_13-09-15_27-16-44	13-09-15_Diplomarbeit-Einleitung_27-16-44.txt	ich	8415	8418	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_5	ltet die notwendige Hintergrund Informationen zum Gegenstand und Theoretischer Bezugsrahmen. Als Instrument für die Hintergrund Informationen befasse 	ich	 mich mit der rechtlichen Grundlage der Zuwanderungsgesetzt in Deutschland, um Erkenntnisse zur erlangen, welche Vorschritten vorgeschrieben sind, um 
Diplomarbeit-Einleitung_13-09-15_27-16-44+8617	575.0	Diplomarbeit-Einleitung_13-09-15_27-16-44	13-09-15_Diplomarbeit-Einleitung_27-16-44.txt	ich	8617	8620	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	rough_match_5	ngsgesetzt in Deutschland, um Erkenntnisse zur erlangen, welche Vorschritten vorgeschrieben sind, um eine Aufenthaltstitel zu erlangen. Hiermit setze 	ich	 mich auseinander mit den Voraussetzungen von Asylrechte für unbegleitete Minderjährige, sowie die Auswirkung von Kindern-und Jugendhilfe für Flüchtli
Diplomarbeit-Einleitung_13-09-15_27-16-44+9647	576.0	Diplomarbeit-Einleitung_13-09-15_27-16-44	13-09-15_Diplomarbeit-Einleitung_27-16-44.txt	ich	9647	9650	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich*	Verfasser-Ich	rough_match_5	uslose Kinder, das Zentralschulregister im Zusammenhang mit Schulverletzung und Aufdeckung von „Irreguläre Migranten“ Schüler. An dieser Stelle setze 	ich	 meine Forschungsfrage, weil es Forschungslücke bezüglich die Handhabung von Eintragung in das Zentralschulregister für Schüler mit unsicheren Aufenth
Diplomarbeit-Full_13-03-08_31-23-46+43: 33	582.0	Diplomarbeit-Full_13-03-08_31-23-46	13-03-08_Diplomarbeit-Full_31-23-46.txt	Ich	99	108	Eid	Eid	Eid	Eid	PDF	PDF	PDF	PDF
Diplomarbeit-Full_13-03-08_31-23-46+43: 54	583.0	Diplomarbeit-Full_13-03-08_31-23-46	13-03-08_Diplomarbeit-Full_31-23-46.txt	ich	205	213	Eid	Eid	Eid	Eid	PDF	PDF	PDF	PDF
Diss-Forschungsstand_15-08-13_06-07-96_SB02+13298	663.0	Diss-Forschungsstand_15-08-13_06-07-96_SB02	15-08-13_Diss-Forschungsstand_06-07-96_SB02.txt	Ich	13298	13301	Forscher-Ich	Forscher-Ich	Verfasser-Ich	Forscher-Ich	no_match	None	None	None
Diss-Forschungsstand_15-08-13_06-07-96_SB02+91941	664.0	Diss-Forschungsstand_15-08-13_06-07-96_SB02	15-08-13_Diss-Forschungsstand_06-07-96_SB02.txt	ich	91941	91944	Forscher-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	no_match	None	None	None
Diss-Geopolitik-zweites-Kapitel_15-06-22_00-08-79_SB19+3590	666.0	Diss-Geopolitik-zweites-Kapitel_15-06-22_00-08-79_SB19	15-06-22_Diss-Geopolitik-zweites-Kapitel_00-08-79_SB19.txt	ich	3590	3593	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	Verfasser-Ich	fullmatch	ucht, das Handeln von politischen Akteuren aufzuzeigen. Um eine Verbindung zu einer Theoriekonstruktion der Geopolitik herstellen zu können, verwiese 	ich	 auf die konzeptionelle Grundlage einer konstruktivistischen Geopolitik als räumliches Handeln um Macht und Konflikte. Ziel ist die Entwicklung einer 
